Name;Width;Height;Depth;Quantity;RotateX;RotateY;RotateZ
Rhh./Pf. Riesling feinherb;265;315;175;10;1;0;0
Gruener Veltliner, Oesterreich;255;315;170;10;1;0;0
Rhh./Pf. Mueller-Thurgau QbA;270;320;185;10;1;0;0
Pinot Grigio DOC, Italien;235;315;155;10;1;0;0
Rhh./Pf. Riesling&Chardonnay;235;335;155;10;1;0;0
Wodka 37,5%;230;295;150;10;1;0;0
Burlwood Caber. Sauvig., Kalif.;235;315;155;10;1;0;0
Zweigelt Qualitaetswein, oester.;225;325;150;10;1;0;0
Eierlikoer 20%;230;305;155;10;1;0;0
R. Pruem Riesling Mosel trocken;235;335;160;10;1;0;0
Rhh./Pf. Weisser Burgunder QbA;235;330;155;10;1;0;0
Primitivo Puglia IGT;250;310;165;10;1;0;0
Chardonnay Garda DOC;230;305;155;10;1;0;0
